threshold,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp,seed
0.85,0.8282800741629404,0.9493878769782025,0.6935325553495474,0.8015377828196887,0.036972407023666706,8830,339,2810,6359,44
0.9,0.7940342458283346,0.9622770919067215,0.6120623841204057,0.7482167855476302,0.023993892463736503,8949,220,3557,5612,44
0.95,0.7294688624713709,0.9773139745916516,0.4698440396989857,0.634602636812256,0.010906314756243865,9069,100,4861,4308,44
0.05,0.7481731922783291,0.6670091743119266,0.9911658850474425,0.7974028253049048,0.49481950049078416,4632,4537,81,9088,45
0.1,0.8051586868797034,0.7257179735398516,0.9811320754716981,0.8343148620449803,0.3708147017122914,5769,3400,173,8996,45
0.15,0.8352055840331551,0.7632097285261625,0.9719707710764532,0.8550321404586012,0.3015596030101429,6404,2765,257,8912,45
0.2,0.8524920929218017,0.7884684041413781,0.963463845566583,0.867226230795661,0.2584796597229796,6799,2370,335,8834,45
0.25,0.8660704547933253,0.8113347555885354,0.9539753517286509,0.8768922305764411,0.2218344421420002,7135,2034,422,8747,45
0.3,0.8730504962373214,0.826601737801967,0.9441596684480315,0.8814784645148152,0.19805867597338858,7353,1816,512,8657,45
0.35,0.8781764641727561,0.8428755067734599,0.9296542698222271,0.8841406493102375,0.17330134147671503,7580,1589,645,8524,45
0.4,0.8804667902715673,0.8549191168989724,0.916457628967172,0.884619433624592,0.15552404842403753,7743,1426,766,8403,45
0.45,0.8832479005344094,0.8677270824612808,0.9043516195877414,0.8856608811748998,0.13785581851892245,7905,1264,877,8292,45
0.5,0.8841749372886901,0.8801942795466811,0.8894099683716872,0.8847781273733318,0.1210600937943069,8059,1110,1014,8155,45
0.55,0.8833569636819718,0.8898624667258208,0.8750136328934454,0.8823755842727523,0.10829970552950158,8176,993,1146,8023,45
0.6,0.8814483585996292,0.9008595988538682,0.8572363398407679,0.8785067620431429,0.09433962264150944,8304,865,1309,7860,45
0.65,0.8774675537136002,0.9111427892611071,0.8365143418039045,0.8722351737078524,0.08157923437670411,8421,748,1499,7670,45
0.7,0.8725597120732904,0.9222496909765142,0.8137201439633548,0.8645923865809143,0.06860071981677392,8540,629,1708,7461,45
0.75,0.8649252917439197,0.9331952356292077,0.7861271676300579,0.8533712188480436,0.056276584142218346,8653,516,1961,7208,45
0.8,0.8535827243974261,0.9436234263820471,0.7520994655905769,0.8370455786854403,0.04493401679572472,8757,412,2273,6896,45
0.85,0.8325880684916567,0.9535921463632308,0.6992038390227941,0.8068210420337276,0.034027702039480856,8857,312,2758,6411,45
0.9,0.7976878612716763,0.9682621375879225,0.6155524048424037,0.7526336844912656,0.02017668229905115,8984,185,3525,5644,45
0.95,0.7285963572908715,0.9809545663148234,0.4662449558294252,0.6320691949434465,0.009052241247682408,9086,83,4894,4275,45
0.05,0.7479550659832043,0.6668623853211009,0.9909477587523176,0.7972273405282092,0.49503762678590907,4630,4539,83,9086,46
